Name,Guild,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer
"Wem204",Ender's,892953661,2237170,1397750,839420,166,-80,21,53,18,5,97,1,1,10,29,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Zoron",Ender's,763617986,1947442,1231828,715614,172,248,40,10,20,0,75,0,0,2,21,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Austin",Ender's,122863969,2618029,1588711,1029318,154,202,25,58,20,12,118,1,3,10,26,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Arima",Ender's,151418854,895773,598162,297611,200,190,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amanda Lorian",Ender's,461945337,1818362,1139815,678547,167,-192,87,50,14,6,81,1,2,6,30,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Manimal666",Ender's,822424418,1302172,748400,553772,135,-876,53,38,14,0,49,0,0,5,12,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Rodri Jube",Ender's,317745375,1593792,1004539,589253,170,-319,19,140,11,27,61,4,7,10,20,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cooner65",Ender's,185285257,1111230,784761,326469,240,-330,89,82,10,6,45,1,1,7,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baxter Exibil",Ender's,436812938,996529,655185,341344,191,118,45,30,3,0,50,0,0,3,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Haryk Lasaar",Ender's,771366972,1406582,982836,423746,231,164,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Nichols",Ender's,159686726,1757612,1185951,571661,207,180,109,54,19,8,62,1,2,6,17,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Andrew Wiggin",Ender's,845439946,4245576,2581031,1664545,155,183,182,89,59,46,160,7,9,20,55,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
